Datacenter,Rack,Server,Interface,MAC Address,Type,Description
DC-Center,CENT-R01,CENT-SRV-001,bmc,A0:36:9F:C1:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-001,ens1f0,3C:FD:FE:C1:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-001,ens2f0,3C:FD:FE:C1:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-001,mgmt0,A0:36:9F:A9:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-002,bmc,A0:36:9F:C2:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-002,ens1f0,3C:FD:FE:C2:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-002,ens2f0,3C:FD:FE:C2:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-002,mgmt0,A0:36:9F:AA:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-003,bmc,A0:36:9F:C3:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-003,ens1f0,3C:FD:FE:C3:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-003,ens2f0,3C:FD:FE:C3:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-003,mgmt0,A0:36:9F:AB:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-004,bmc,A0:36:9F:C4:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-004,ens1f0,3C:FD:FE:C4:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-004,ens2f0,3C:FD:FE:C4:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-004,mgmt0,A0:36:9F:AC:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-005,bmc,A0:36:9F:C5:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-005,ens1f0,3C:FD:FE:C5:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-005,ens2f0,3C:FD:FE:C5:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-005,mgmt0,A0:36:9F:AD:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-006,bmc,A0:36:9F:C6:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-006,ens1f0,3C:FD:FE:C6:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-006,ens2f0,3C:FD:FE:C6:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-006,mgmt0,A0:36:9F:AE:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-007,bmc,A0:36:9F:C7:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-007,ens1f0,3C:FD:FE:C7:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-007,ens2f0,3C:FD:FE:C7:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-007,mgmt0,A0:36:9F:AF:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-008,bmc,A0:36:9F:C8:02:00,1000base-t,BMC Management Interface
